"","created_at","status_id","negative","positive","favourite_count","favourites_count","reply_to_status_id","general_sentiment"
"1",2021-01-31 15:20:05,"1355898654310199296",1,0,118,18370,NA,"Negative"
"2",2021-01-31 15:00:05,"1355893622751850497",1,0,378,18370,NA,"Negative"
"3",2021-01-31 13:00:21,"1355863488741199872",0,2,590,18370,NA,"Positive"
"4",2021-01-31 13:00:21,"1355863488741199872",0,2,590,18370,NA,"Positive"
"5",2021-01-31 12:00:10,"1355848346376802304",1,3,760,18370,NA,"Positive"
"6",2021-01-31 12:00:10,"1355848346376802304",1,3,760,18370,NA,"Positive"
"7",2021-01-31 12:00:10,"1355848346376802304",1,3,760,18370,NA,"Positive"
"8",2021-01-31 12:00:10,"1355848346376802304",1,3,760,18370,NA,"Positive"
"9",2021-01-31 09:00:12,"1355803055476846593",0,1,200,18370,NA,"Positive"
"10",2021-01-31 08:00:01,"1355787910650474496",0,1,559,18370,NA,"Positive"
"11",2021-01-31 07:00:07,"1355772835747266562",0,1,2042,18370,NA,"Positive"
"12",2021-01-31 06:00:08,"1355757740107456515",0,1,845,18370,NA,"Positive"
"13",2021-01-31 05:00:08,"1355742640218767366",2,0,254,18370,NA,"Negative"
"14",2021-01-31 05:00:08,"1355742640218767366",2,0,254,18370,NA,"Negative"
"15",2021-01-31 04:00:18,"1355727582587727877",0,2,506,18370,NA,"Positive"
"16",2021-01-31 04:00:18,"1355727582587727877",0,2,506,18370,NA,"Positive"
"17",2021-01-31 03:00:07,"1355712436805001217",2,0,218,18370,NA,"Negative"
"18",2021-01-31 03:00:07,"1355712436805001217",2,0,218,18370,NA,"Negative"
"19",2021-01-31 02:47:53,"1355709359209259008",1,1,1980,18370,NA,"Negative"
"20",2021-01-31 02:47:53,"1355709359209259008",1,1,1980,18370,NA,"Negative"
"21",2021-01-31 02:00:09,"1355697343623012352",1,0,230,18370,NA,"Negative"
"22",2021-01-31 01:00:06,"1355682232703311881",1,1,355,18370,NA,"Negative"
"23",2021-01-31 01:00:06,"1355682232703311881",1,1,355,18370,NA,"Negative"
"24",2021-01-31 00:00:10,"1355667150648782849",1,2,1153,18370,NA,"Positive"
"25",2021-01-31 00:00:10,"1355667150648782849",1,2,1153,18370,NA,"Positive"
"26",2021-01-31 00:00:10,"1355667150648782849",1,2,1153,18370,NA,"Positive"
"27",2021-01-30 23:20:06,"1355657068125040645",2,1,408,18370,NA,"Negative"
"28",2021-01-30 23:20:06,"1355657068125040645",2,1,408,18370,NA,"Negative"
"29",2021-01-30 23:20:06,"1355657068125040645",2,1,408,18370,NA,"Negative"
"30",2021-01-30 23:00:07,"1355652037996912640",1,1,213,18370,NA,"Negative"
"31",2021-01-30 23:00:07,"1355652037996912640",1,1,213,18370,NA,"Negative"
"32",2021-01-30 22:26:49,"1355643657681063945",1,0,175,18370,"1355643153697665030","Negative"
"33",2021-01-30 22:24:49,"1355643153697665030",1,0,198,18370,"1355643108520812545","Negative"
"34",2021-01-30 22:24:38,"1355643108520812545",2,0,177,18370,"1355643032243220486","Negative"
"35",2021-01-30 22:24:38,"1355643108520812545",2,0,177,18370,"1355643032243220486","Negative"
"36",2021-01-30 22:24:20,"1355643032243220486",2,2,266,18370,"1355642882280083460","Negative"
"37",2021-01-30 22:24:20,"1355643032243220486",2,2,266,18370,"1355642882280083460","Negative"
