"","status_id","positive.y","negative.y","sentiment.y","general_sentiment.y","created_at","reply_to_status_id"
"1","1355643657681063945",0,1,-1,"Negative",2021-01-30 22:26:49,"1355643153697665030"
"2","1355643153697665030",0,2,-1,"Negative",2021-01-30 22:24:49,"1355643108520812545"
"3","1355643108520812545",2,2,-2,"Negative",2021-01-30 22:24:38,"1355643032243220486"
"4","1355643032243220486",0,2,0,"Negative",2021-01-30 22:24:20,"1355642882280083460"
"5","1355642882280083460",0,3,-2,"Negative",2021-01-30 22:23:44,"1355642564309905414"
"6","1355642564309905414",0,1,-3,"Negative",2021-01-30 22:22:28,"1355642444340207620"
"7","1355642444340207620",3,2,-1,"Positive",2021-01-30 22:22:00,"1355641960292356102"
"8","1355606384134541313",0,4,-2,"Negative",2021-01-30 19:58:42,"1355606145801580547"
"9","1355606145801580547",0,2,-4,"Negative",2021-01-30 19:57:45,"1355606062779551744"
"10","1355606062779551744",1,2,-2,"Negative",2021-01-30 19:57:25,"1355605960530817026"
"11","1355605960530817026",0,6,-1,"Negative",2021-01-30 19:57:01,"1355605867924770820"
"12","1355605867924770820",0,5,-6,"Negative",2021-01-30 19:56:39,"1355605736211013635"
"13","1355605736211013635",0,1,-5,"Negative",2021-01-30 19:56:08,"1355605478315872256"
"14","1355582230039588864",3,0,0,"Positive",2021-01-30 18:22:43,"1355582159256494081"
"15","1355582159256494081",0,1,3,"Negative",2021-01-30 18:22:26,"1355581589007249410"
"16","1355548265597575169",0,6,-4,"Negative",2021-01-30 16:07:46,"1355547589261852682"
"17","1355332402311278595",1,2,1,"Negative",2021-01-30 01:50:00,"1355211624131547148"
"18","1355286242535956487",1,1,-2,"Negative",2021-01-29 22:46:34,"1355286238299738114"
"19","1355286238299738114",0,4,0,"Negative",2021-01-29 22:46:33,"1355286233908355072"
"20","1355286233908355072",0,2,-4,"Negative",2021-01-29 22:46:32,"1355286229143572482"
"21","1355237551515332608",2,3,2,"Negative",2021-01-29 19:33:06,"1355214157818290179"
"22","1355194169241829378",1,0,0,"Positive",2021-01-29 16:40:42,"1355193862625644551"
"23","1355193862625644551",1,2,1,"Negative",2021-01-29 16:39:29,"1355193734669991938"
"24","1355193734669991938",1,1,-1,"Negative",2021-01-29 16:38:59,"1355193531061723136"
"25","1355002732697018369",0,2,-4,"Negative",2021-01-29 04:00:00,"1354967522504810500"
"26","1354890512696799234",0,3,1,"Negative",2021-01-28 20:34:05,"1354867110581850122"
"27","1354845831879389189",2,3,1,"Negative",2021-01-28 17:36:32,"1354845451711901697"
"28","1354829166487728128",1,1,1,"Negative",2021-01-28 16:30:19,"1354829164558352390"
"29","1354575419429814272",1,2,-2,"Negative",2021-01-27 23:42:01,"1354572039626088452"
"30","1354572039626088452",0,3,-1,"Negative",2021-01-27 23:28:35,"1354568863476817923"
"31","1354466835433988096",0,4,-1,"Negative",2021-01-27 16:30:33,"1354466738428125184"
