"","word","sentiment","n"
"1","safe","positive",285
"2","work","positive",303
"3","support","positive",340
"4","better","positive",343
"5","good","positive",365
"6","great","positive",370
"7","win","positive",378
"8","leading","positive",414
"9","rampant","negative",646
"10","sickening","negative",647
"11","baseless","negative",663
"12","famine","negative",680
"13","denied","negative",687
"14","right","positive",697
"15","death","negative",800
"16","scandal","negative",804
"17","fraud","negative",857
"18","hedge","negative",1005
"19","attack","negative",1823
"20","like","positive",1911
